dom1     dom2     Meff                DCA_score
PF01078  PF02021  1033.378570079235   .23103335224934904
PF00875  PF11066  208.376713268952    .1132183799913856
PF04216  PF12390  87.50270062592045   .11484437800624364
PF01242  PF13394  533.7153102730715   .1633298139310649
PF04221  PF06769  241.4460900210901   .19027878707522583
PF13333  PF13518  227.25083808949915  .1524858141973917
PF03205  PF04879  316.9479252501851   .1841762717604704
PF03170  PF06564  44.453988162779716  .07952481820437407
PF02110  PF02133  209.60194864128488  .09845974840207851
PF02705  PF06965  245.48994991977852  .11713399605096489
PF08436  PF13292  619.0621958807562   .1995142006048711
PF13288  PF13292  686.7095702988167   .18007681298996825
PF00994  PF02464  831.345942365572    .1520963876715819
PF01527  PF13565  261.5098308962777   .11033818346674462
PF02678  PF04471  419.76141825157754  .11967281354393462
PF00725  PF02770  1106.757711994825   .18047113139993332
PF04860  PF04865  212.96263234073382  .08673804504894404
PF00301  PF12158  290.75              .18441229121732505
PF00248  PF02627  596.721256641389    .09786786811171262
PF00654  PF07885  361.43335695887583  .11456249901121117
PF02670  PF13292  664.2867399567685   .19814516035917504
PF00676  PF10437  143.55334169679932  .13002474205736836
PF02311  PF03729  768.5330263095489   .12691650058981846
PF01794  PF02424  301.2265886458616   .10420953470471295
PF06983  PF13518  302.6583830910592   .20187157219091695
PF13441  PF13520  102.60055607876814  .11285246533057199
PF00465  PF01242  353.810083086183    .10138379035417967
PF00092  PF04471  583.8591536286847   .10993879590828078
PF01964  PF08543  498.41898061594634  .1358011460625596
PF13242  PF13580  503.65881106822883  .1799125836865575
PF02350  PF08666  471.68011544378726  .13086576618751297
PF03824  PF03972  152.04727803440036  .07478717139364421
PF08448  PF13641  1066.713599431465   .1154594849543592
PF02350  PF02583  510.00318402375734  .12183590842218792
PF09107  PF09163  64.41016300614457   .24336495987432605
PF00230  PF00884  322.011423361282    .10114458986488677
PF02452  PF02661  439.35287066083487  .13746074938113936
PF01568  PF01967  492.80916628949774  .17108322058474942
PF02606  PF03331  515.1590517136027   .12497281117549798
PF01923  PF02308  596.9017204410209   .15821573449624152
PF04754  PF06250  94.14049457526372   .09265381769483903
PF01638  PF02525  714.7775058570013   .13988956554522408
PF02391  PF03454  420.9165210799881   .17340524964692772
PF03724  PF09619  122.08253249289561  .14506101212138228
PF01678  PF14602  419.4528550193209   .16934270236990362
PF03747  PF08719  196.40930022920745  .08973790221684133
PF00239  PF00939  248.64382987845894  .0791914608010315
PF01699  PF03773  172.70054388620895  .12176183189952575
PF00441  PF00725  544.8049783796293   .11015848506333577
PF04616  PF05336  93.30904453881791   .09432983650646282
PF03331  PF04613  404.73137274070643  .19984356953344862
PF06983  PF07237  174.6457812000994   .17740478671211607
PF00245  PF13683  128.85018124711323  .10712693512825766
PF02684  PF04413  493.55664402830286  .1364765393403716
PF06769  PF13181  374.9199721030604   .2592880542026921
PF01885  PF07510  162.57357566598102  .10389448972253977
PF01638  PF05368  436.90208261977966  .13380036343153312
PF01965  PF08279  491.30764463796305  .12697072260146874
PF02086  PF13675  153.18703509133087  .10042231221287894
PF00393  PF01182  241.7145317021472   .11485578843066795
PF02237  PF03747  234.46285980873483  .11704793423331132
PF02119  PF13144  339.0266217976206   .14420049023860826
PF01695  PF01938  405.63566955921766  .12812743857551703
PF02615  PF13238  154.87060549100025  .105299977726484
PF02844  PF13507  434.7891425353085   .15580634206749724
PF05593  PF08242  381.3438398156542   .22410338840594485
PF00793  PF01761  504.17648484089113  .1311256505157014
PF02028  PF02525  415.91667384482537  .10894838015955563
PF00595  PF04972  501.0979121327123   .17800370599563364
PF00092  PF02796  286.1848404849035   .1416347551131304
PF00975  PF05593  776.1538919659861   .1624363545761518
PF05866  PF12684  52.46349206349206   .09458745724397467
PF09163  PF12390  77.6114762688292    .2520262391734589
PF02635  PF03706  592.8870031131323   .09238878665784497
PF00080  PF00465  186.14402575024786  .12461112741406742
PF01011  PF10282  149.67453264531525  .11144809713954754
PF02843  PF13507  430.40168460380744  .15578820432448823
PF04657  PF07859  327.52462040163977  .13228731214879264
PF00144  PF07722  622.9293746855514   .10241610837247524
PF04551  PF13292  433.77804793635084  .14000052193465284
PF06007  PF12974  86.22008857990356   .14164329469055598
PF05861  PF12974  100.95742874273293  .12336658018297017
PF05157  PF08443  248.25757037698074  .118200707425804
PF02592  PF08443  210.60624116541834  .12878735779080333
PF00265  PF04227  195.12291860469918  .16043354841348803
PF00665  PF01609  758.5123550942291   .11892057320181622
PF00384  PF03453  200.80704013649142  .10853119449476943
PF02606  PF13720  536.6514464416082   .16580973825431827
PF02586  PF08239  398.10784888828846  .15411964512901213
PF00668  PF13508  1084.9348496913494  .11002907333161174
PF00893  PF13714  415.1433828502818   .14212375896532542
PF00463  PF03737  28.3581801487031    .16898661958461603
PF00376  PF04480  494.0354103814344   .2022984724400429
